date,value
10/20/2015,119.79
10/21/2015,119.91
10/22/2015,120.5
10/23/2015,121.2
10/24/2015,121.2
10/25/2015,121.2
10/26/2015,120.87
10/27/2015,120.29
10/28/2015,120.56
10/29/2015,121.14
10/30/2015,120.7
10/31/2015,120.7
11/1/2015,120.7
11/2/2015,120.7
11/3/2015,121.2
11/4/2015,121.52
11/5/2015,121.71
11/6/2015,123.2
11/7/2015,123.2
11/8/2015,123.2
11/9/2015,123.04
11/10/2015,123.22
11/11/2015,123.22
11/12/2015,122.84
11/13/2015,122.93
11/14/2015,122.93
11/15/2015,122.93
11/16/2015,123.11
11/17/2015,123.48
11/18/2015,123.51
11/19/2015,122.71
11/20/2015,122.8
11/21/2015,122.8
11/22/2015,122.8
11/23/2015,123.02
11/24/2015,122.47
11/25/2015,122.7
11/26/2015,122.7
11/27/2015,122.84
11/28/2015,122.84
11/29/2015,122.84
11/30/2015,123.22
12/1/2015,122.88
12/2/2015,123.52
12/3/2015,123.06
12/4/2015,123.1
12/5/2015,123.1
12/6/2015,123.1
12/7/2015,123.31
12/8/2015,123
12/9/2015,121.86
12/10/2015,121.44
12/11/2015,120.94
12/12/2015,120.94
12/13/2015,120.94
12/14/2015,120.57
12/15/2015,121.66
12/16/2015,121.88
12/17/2015,122.75
12/18/2015,121.2
12/19/2015,121.2
12/20/2015,121.2
12/21/2015,120.99
12/22/2015,120.94
12/23/2015,120.94
12/24/2015,120.32
12/25/2015,120.32
12/26/2015,120.32
12/27/2015,120.32
12/28/2015,120.3
12/29/2015,120.44
12/30/2015,120.6
12/31/2015,120.27
1/1/2016,120.27
1/2/2016,120.27
1/3/2016,120.27
1/4/2016,119.3
1/5/2016,118.95
1/6/2016,118.54
1/7/2016,118
1/8/2016,117.74
1/9/2016,117.74
1/10/2016,117.74
1/11/2016,117.48
1/12/2016,117.78
1/13/2016,118.06
1/14/2016,118.03
1/15/2016,116.78
1/16/2016,116.78
1/17/2016,116.78
1/18/2016,116.78
1/19/2016,117.66
1/20/2016,116.38
1/21/2016,117.61
1/22/2016,118.37
1/23/2016,118.37
1/24/2016,118.37
1/25/2016,118.55
1/26/2016,118.5
1/27/2016,118.9
1/28/2016,118.61
1/29/2016,121.05
1/30/2016,121.05
1/31/2016,121.05
2/1/2016,121.06
2/2/2016,120.27
2/3/2016,117.92
2/4/2016,116.75
2/5/2016,116.99
2/6/2016,116.99
2/7/2016,116.99
2/8/2016,115.7
2/9/2016,114.8
2/10/2016,114.03
2/11/2016,111.72
2/12/2016,112.96
2/13/2016,112.96
2/14/2016,112.96
2/15/2016,112.96
2/16/2016,113.9
2/17/2016,114.14
2/18/2016,113.62
2/19/2016,112.42
2/20/2016,112.42
2/21/2016,112.42
2/22/2016,113.12
2/23/2016,112.17
2/24/2016,111.36
2/25/2016,112.7
2/26/2016,113.78
2/27/2016,113.78
2/28/2016,113.78
2/29/2016,112.9
3/1/2016,113.94
3/2/2016,113.81
3/3/2016,113.53
3/4/2016,113.91
3/5/2016,113.91
3/6/2016,113.91
3/7/2016,113.6
3/8/2016,112.58
3/9/2016,113.06
3/10/2016,113.1
3/11/2016,113.66
3/12/2016,113.66
3/13/2016,113.66
3/14/2016,113.59
3/15/2016,112.88
3/16/2016,113.69
3/17/2016,111.3
3/18/2016,111.38
3/19/2016,111.38
3/20/2016,111.38
3/21/2016,111.62
3/22/2016,111.82
3/23/2016,112.63
3/24/2016,112.64
3/25/2016,113.05
3/26/2016,113.05
3/27/2016,113.05
3/28/2016,113.29
3/29/2016,113.33
3/30/2016,112.6
3/31/2016,112.42
4/1/2016,112.06
4/2/2016,112.06
4/3/2016,112.06
4/4/2016,111.18
4/5/2016,110.26
4/6/2016,109.63
4/7/2016,107.98
4/8/2016,108.36
4/9/2016,108.36
4/10/2016,108.36
4/11/2016,107.96
4/12/2016,108.54
4/13/2016,109.21
4/14/2016,109.2
4/15/2016,108.76
4/16/2016,108.76
4/17/2016,108.76
4/18/2016,108.85
4/19/2016,109.16
4/20/2016,109.51
4/21/2016,109.41
4/22/2016,111.5
4/23/2016,111.5
4/24/2016,111.5
4/25/2016,111.08
4/26/2016,111.23
4/27/2016,111.26
4/28/2016,108.55
4/29/2016,106.9
4/30/2016,106.9
5/1/2016,106.9
5/2/2016,106.9
5/3/2016,106.9
5/4/2016,106.9
5/5/2016,106.9
5/6/2016,106.9
5/7/2016,106.9
5/8/2016,106.9
5/9/2016,106.9
5/10/2016,106.9
5/11/2016,106.9
5/12/2016,106.9
5/13/2016,106.9
5/14/2016,106.9
5/15/2016,106.9
5/16/2016,108.89
5/17/2016,109.02
5/18/2016,109.65
5/19/2016,109.81
5/20/2016,110.52
5/21/2016,110.52
5/22/2016,110.52
5/23/2016,109.47
5/24/2016,110
5/25/2016,110.22
5/26/2016,109.74
5/27/2016,109.86
5/28/2016,109.86
5/29/2016,109.86
5/30/2016,109.86
