date,value
17/02/2016,114.14
18/02/2016,113.62
19/02/2016,112.42
22/02/2016,113.12
23/02/2016,112.17
24/02/2016,111.36
25/02/2016,112.7
26/02/2016,113.78
29/02/2016,112.9
01/03/2016,113.94
02/03/2016,113.81
03/03/2016,113.53
04/03/2016,113.91
07/03/2016,113.6
08/03/2016,112.58
09/03/2016,113.06
10/03/2016,113.1
11/03/2016,113.66
14/03/2016,113.59
15/03/2016,112.88
16/03/2016,113.69
17/03/2016,111.3
18/03/2016,111.38
21/03/2016,111.62
22/03/2016,111.82
23/03/2016,112.63
24/03/2016,112.64
25/03/2016,113.05
28/03/2016,113.29
29/03/2016,113.33
30/03/2016,112.6
31/03/2016,112.42
01/04/2016,112.06
04/04/2016,111.18
05/04/2016,110.26
06/04/2016,109.63
07/04/2016,107.98
08/04/2016,108.36
11/04/2016,107.96
12/04/2016,108.54
13/04/2016,109.21
14/04/2016,109.2
15/04/2016,108.76
18/04/2016,108.85
19/04/2016,109.16
20/04/2016,109.51
21/04/2016,109.41
22/04/2016,111.5
25/04/2016,111.08
26/04/2016,111.23
27/04/2016,111.26
28/04/2016,108.55
29/04/2016,106.9
02/05/2016,106.48
03/05/2016,106.34
04/05/2016,107.12
05/05/2016,107.32
06/05/2016,106.66
09/05/2016,108.39
10/05/2016,109.22
11/05/2016,108.48
12/05/2016,108.73
13/05/2016,109.14
16/05/2016,108.89
17/05/2016,109.02
18/05/2016,109.65
19/05/2016,109.81
20/05/2016,110.52
23/05/2016,109.47
24/05/2016,110
25/05/2016,110.22
26/05/2016,109.74
27/05/2016,109.86
30/05/2016,.
31/05/2016,110.75
01/06/2016,109.55
02/06/2016,108.75
03/06/2016,106.88
06/06/2016,107.33
07/06/2016,107.3
08/06/2016,106.68
09/06/2016,106.54
10/06/2016,107.06
13/06/2016,106.07
14/06/2016,106.02
15/06/2016,105.87
16/06/2016,104.05
17/06/2016,104.2
20/06/2016,104.32
21/06/2016,104.56
22/06/2016,104.56
23/06/2016,105.9
24/06/2016,102.26
27/06/2016,101.66
28/06/2016,102.71
29/06/2016,102.68
30/06/2016,102.77
01/07/2016,102.55
04/07/2016,.
05/07/2016,101.58
06/07/2016,101.12
07/07/2016,100.74
08/07/2016,100.65
11/07/2016,102.66
12/07/2016,104.72
13/07/2016,104.1
14/07/2016,105.4
15/07/2016,105.64
18/07/2016,106
19/07/2016,106.13
20/07/2016,106.65
21/07/2016,105.98
22/07/2016,106.22
25/07/2016,106.02
26/07/2016,104.83
27/07/2016,105.65
28/07/2016,104.86
29/07/2016,102.32
01/08/2016,102.26
02/08/2016,100.82
03/08/2016,101.34
04/08/2016,101.08
05/08/2016,101.74
08/08/2016,102.53
09/08/2016,101.96
10/08/2016,101.27
11/08/2016,101.46
12/08/2016,101.01
15/08/2016,101.02
16/08/2016,100.28
17/08/2016,100.24
18/08/2016,100.07
19/08/2016,100.24
22/08/2016,100.25
23/08/2016,100.2
24/08/2016,100.5
25/08/2016,100.58
26/08/2016,101.2
29/08/2016,102.13
30/08/2016,102.92
31/08/2016,103.38
01/09/2016,103.22
02/09/2016,104.18
05/09/2016,.
06/09/2016,102.28
07/09/2016,101.72
08/09/2016,102.28
09/09/2016,102.86
12/09/2016,101.96
13/09/2016,102.14
14/09/2016,102.33
15/09/2016,102.24
16/09/2016,102.36
19/09/2016,101.82
20/09/2016,101.66
21/09/2016,100.62
22/09/2016,100.8
23/09/2016,101.04
26/09/2016,100.34
27/09/2016,100.36
28/09/2016,100.57
29/09/2016,101.48
30/09/2016,101.21
03/10/2016,101.54
04/10/2016,102.66
05/10/2016,103.53
06/10/2016,104.02
07/10/2016,103.42
10/10/2016,.
11/10/2016,103.36
12/10/2016,104.48
13/10/2016,103.62
14/10/2016,104.1
17/10/2016,103.96
18/10/2016,103.8
19/10/2016,103.3
20/10/2016,103.92
21/10/2016,103.96
24/10/2016,104.2
25/10/2016,104.25
26/10/2016,104.42
27/10/2016,105.14
28/10/2016,105.4
31/10/2016,105.07
01/11/2016,104.59
02/11/2016,103.22
03/11/2016,103.17
04/11/2016,103.02
07/11/2016,104.6
08/11/2016,104.98
09/11/2016,104.84
10/11/2016,106.56
11/11/2016,.
14/11/2016,108.3
15/11/2016,108.94
16/11/2016,109.16
17/11/2016,109.64
18/11/2016,110.51
21/11/2016,111.12
22/11/2016,110.98
23/11/2016,112.58
24/11/2016,.
25/11/2016,113.17
28/11/2016,112.36
29/11/2016,112.78
30/11/2016,114.34
01/12/2016,114.34
02/12/2016,113.76
05/12/2016,114.1
06/12/2016,113.98
07/12/2016,113.5
08/12/2016,114.16
09/12/2016,115.17
12/12/2016,115.34
13/12/2016,115.26
14/12/2016,115.06
15/12/2016,118.32
16/12/2016,117.74
19/12/2016,116.6
20/12/2016,117.86
21/12/2016,117.79
22/12/2016,117.48
23/12/2016,117.22
26/12/2016,.
27/12/2016,117.52
28/12/2016,117.66
29/12/2016,116.32
30/12/2016,116.78
02/01/2017,.
03/01/2017,117.68
04/01/2017,117.38
05/01/2017,115.46
06/01/2017,116.85
09/01/2017,116.07
10/01/2017,115.74
11/01/2017,116.26
12/01/2017,113.87
13/01/2017,115.03
16/01/2017,.
17/01/2017,112.96
18/01/2017,113.4
19/01/2017,115.3
20/01/2017,.
23/01/2017,112.9
24/01/2017,113.63
25/01/2017,113.6
26/01/2017,114.7
27/01/2017,115.16
30/01/2017,113.86
31/01/2017,112.72
01/02/2017,113.29
02/02/2017,112.48
03/02/2017,112.42
06/02/2017,112.32
07/02/2017,112.14
08/02/2017,111.74
09/02/2017,113.24
10/02/2017,113.22
13/02/2017,113.79
